                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4927,                 1.8687,                 1.4546,                0.39676,                0.72727,                0.71632,                0.39816,                 1.4337,                 1.7987,                 1.4439,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.5279,                  1.881,                  1.489,                0.36171,                0.78447,                0.56861,                0.30558,                 1.4497,                 1.8243,                 1.4196,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.4947,                 1.7778,                 1.4378,                0.34455,                0.52273,                0.46789,                0.28526,                 1.3438,                 1.8576,                 1.3271,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.4481,                 1.7519,                 1.4308,                0.77187,                0.43182,                  0.498,                0.33515,                  1.392,                 1.8138,                 1.3412,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.4122,                 1.6729,                 1.3925,                0.24721,                0.72727,                0.38233,                0.21059,                 1.6138,                 1.8094,                 1.3945,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.4359,                 1.7206,                 1.4331,                0.61077,                0.47727,                0.62755,                0.33973,                 1.4927,                 1.8019,                 1.4243,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.4744,                 1.7959,                 1.4313,                      1,                0.17501,                0.38968,                0.24273,                 1.3651,                  1.626,                 1.3384,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.3783,                  1.616,                 1.3354,                0.42514,                0.46182,                0.53254,                0.31706,                 1.7078,                 1.7541,                 1.4317,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.4129,                 1.5816,                 1.3729,                0.42074,                0.52273,                0.47091,                0.30772,                 1.4105,                 1.5361,                 1.3405,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.3657,                 1.5292,                 1.3525,                0.31396,                0.52273,                0.42747,                0.27897,                 1.3353,                 1.5711,                 1.3018,             0.00024772,             0.00024772,             0.00024772
                     45,                  1.313,                 1.4233,                 1.3117,                0.50506,                0.52273,                0.57276,                0.40146,                 1.3848,                 1.5573,                 1.2968,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.2901,                 1.4252,                 1.3117,                0.50625,                0.46773,                0.47145,                0.28448,                 1.4597,                 1.6137,                 1.3202,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.2745,                 1.4228,                 1.3007,                0.43134,                0.47727,                0.44838,                0.29221,                 1.3127,                 1.6216,                  1.249,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.2417,                 1.3819,                 1.2751,                  0.313,                0.52273,                0.55862,                0.35595,                   1.36,                 1.5778,                 1.2584,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.2689,                 1.3565,                 1.3202,                0.28698,                0.52273,                0.55821,                0.27768,                 1.4231,                 1.6459,                 1.2956,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                  1.242,                  1.327,                 1.2926,                0.31775,                0.55219,                0.55307,                 0.2691,                 1.4332,                 1.6582,                 1.2881,             4.9677e-05,             4.9677e-05,             4.9677e-05
