                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8588,                 4.1607,                 1.5912,                0.00154,                0.38667,                0.01513,                0.00539,                 2.1613,                 3.8491,                 2.2732,             0.00054142,             0.00054142,             0.00054142
                      2,                  2.117,                 4.1438,                 1.8138,                0.50496,                0.00641,                0.00085,                0.00024,                 3.0505,                  5.538,                 4.6466,              0.0010754,              0.0010754,              0.0010754
                      3,                 2.4475,                 4.1045,                 2.0224,                0.50496,                0.00641,                0.00085,                0.00024,                    nan,                    nan,                    nan,              0.0015873,              0.0015873,              0.0015873
                      4,                 2.4141,                 3.9128,                   2.03,                0.50496,                0.00641,                0.00085,                0.00024,                 4.8914,                    inf,                 94.175,               0.001568,               0.001568,               0.001568
                      5,                  2.486,                 3.7309,                 2.0807,                  5e-05,                0.00641,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                      6,                 2.4125,                 3.5961,                 2.0264,                  5e-05,                0.00641,                  3e-05,                  1e-05,                 4.4504,                    inf,                  270.4,               0.001502,               0.001502,               0.001502
                      7,                 2.5087,                 3.5497,                 2.0467,                0.00076,                0.03282,                0.00039,                0.00019,                  4.505,                    inf,                 12.233,               0.001469,               0.001469,               0.001469
                      8,                 2.4451,                 3.4467,                 2.1152,                0.01357,                0.12333,                0.00623,                0.00189,                 2.7075,                 16.885,                 2.4918,               0.001436,               0.001436,               0.001436
                      9,                 2.3469,                 3.4093,                 2.0656,                0.07265,                 0.1041,                0.02389,                 0.0095,                 2.7012,                 6.5444,                 2.6051,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.2866,                 3.2321,                 1.9586,                 0.0024,                0.14974,                0.00134,                0.00043,                 3.2882,                    inf,                 3.7401,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.2844,                 3.1845,                  1.959,                0.12654,                   0.02,                0.01064,                0.00379,                 3.6503,                 5.3102,                 4.3814,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.1905,                 3.1256,                 1.8827,                0.15177,                0.11846,                0.05658,                0.02402,                  2.654,                 3.6111,                 2.3706,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.1114,                 2.9712,                 1.8079,                0.13616,                0.15128,                0.09238,                0.03082,                 2.3854,                 3.0738,                 2.0957,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.0974,                 2.9423,                 1.8342,                0.09119,                0.17638,                0.04414,                0.01902,                 2.4331,                 3.8537,                 2.1483,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.0709,                 2.9661,                 1.7954,                0.08657,                0.09924,                0.03853,                0.01744,                 2.3021,                 4.1993,                 2.0625,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.0394,                 2.9061,                 1.7915,                0.14292,                0.11692,                0.05647,                0.02364,                 2.2852,                 3.1861,                 2.0539,              0.0011719,              0.0011719,              0.0011719
                     17,                 2.0844,                 2.9176,                 1.8462,                0.11945,                0.13769,                0.06324,                  0.027,                 2.2147,                 3.1493,                  1.931,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.0701,                 2.8951,                 1.8277,                0.11224,                 0.1641,                0.06019,                0.02934,                 2.3096,                 3.2501,                 1.9839,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.9975,                 2.8799,                 1.7803,                0.21364,                 0.1241,                0.10538,                0.04436,                 2.1729,                  2.935,                 1.8923,              0.0010729,              0.0010729,              0.0010729
                     20,                  2.016,                 2.7536,                 1.7672,                 0.2016,                0.22256,                0.11131,                0.03744,                 2.1761,                 2.9344,                 1.8888,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.9267,                 2.6451,                  1.733,                0.16507,                0.16897,                0.11433,                 0.0504,                 2.2576,                  2.935,                 1.9913,              0.0010069,              0.0010069,              0.0010069
